,user_id,timestamp,svid,constellation,cn0_dBHz,baseband_cn0_dBHz,snr_dB,state,pseudorange_rate_mps,pseudorange_rate_uncertainty_mps,accumulated_deltarange,accumulated_deltarange_metres,accumulated_deltarange_uncertainty_metres,carrier_frequency_hz,carrier_cycles,carrier_phase,carrier_phase_uncertainty,altitude,speed,agc_level,multipath_indicator,time_nanos,time_uncertainty_nanos,full_bias_nanos,bias_nanos,leap_seconds,drift_nanos_ps,received_svtime_nanos,received_svtime_uncertainty_nanos
0,9NOVxJwegKSoLIPUFgT3t7XUKRl2,2022-04-25 16:58:18,23,1,26.0,,,16399,60.28201598091982,0.1,0,0.0,0.0,,,0.22464189305901527,,,,,0,1334937517061442048,,-2225,-0.6642817967626797,,-1273.9883536363013,143916986438832.0,25.0
1,9NOVxJwegKSoLIPUFgT3t7XUKRl2,2022-04-25 16:58:17,23,1,25.0,,,16399,60.30175504856743,0.1,0,0.0,0.0,,,0.024108923971652985,,,,,0,1334937516061442048,,-2225,-0.6642817967626797,,-1273.9883536363013,143915986439041.0,25.0
2,9NOVxJwegKSoLIPUFgT3t7XUKRl2,2022-04-25 16:58:15,23,1,26.0,,,16399,60.05392008810304,0.1,0,0.0,0.0,,,0.8502687811851501,,,,,0,1334937514061442048,,-2225,-0.6642817967626797,,-1273.9883536363013,143913986439441.0,25.0
3,9NOVxJwegKSoLIPUFgT3t7XUKRl2,2022-04-25 16:58:03,23,1,26.0,,,16399,58.79171637352556,0.1,0,0.0,0.0,,,0.211112380027771,,,,,0,1334937502061442048,,-2225,-0.6642817967626797,,-1273.9883536363013,143901986441825.0,25.0
4,9NOVxJwegKSoLIPUFgT3t7XUKRl2,2022-04-25 16:58:02,23,1,25.0,,,16399,58.60200200113468,0.1,0,0.0,0.0,,,0.7021724171936512,,,,,0,1334937501061442048,,-2225,-0.6642817967626797,,-1273.9883536363013,143900986442017.0,25.0
5,9NOVxJwegKSoLIPUFgT3t7XUKRl2,2022-04-25 16:57:53,23,1,22.0,,,1,62.253729515941814,0.1,0,0.0,0.0,,,0.4451091066002846,,,,,0,1334937490000000000,,-2225,-0.6642817967626797,,-1273.9883536363013,443629.0,25.0
6,9NOVxJwegKSoLIPUFgT3t7XUKRl2,2022-04-25 16:57:52,23,1,22.0,,,1,62.253729515941814,0.1,0,0.0,0.0,,,0.8617617823183537,,,,,0,1334937489000000000,,-2225,-0.6642817967626797,,-1273.9883536363013,443792.0,25.0
7,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:03:43,10,1,23.0,,,16399,-845.963801862672,0.1,0,0.0,0.0,,,0.908129807561636,,,,,0,1334898242000000000,,-252262,-0.7280026400694624,,-1267.5052714672636,104641920081508.0,25.0
8,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:02:26,10,1,25.0,,,16399,-853.6708111641929,0.1,0,0.0,0.0,,,0.13632680475711823,,,,,0,1334898165000000000,,-154451,-0.039119758643209934,,-1272.5059348793002,104564919863233.0,25.0
9,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:00:58,13,1,16.0,,,3,54.52698114677332,0.1,0,0.0,0.0,,,0.37666686344891787,,,,,0,1334898077000000000,,-42400,-0.8712898879457498,,-1276.9398568816064,9657007.0,400.0
10,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:00:55,19,3,20.0,,,33,-233.44140280659133,0.1,0,0.0,0.0,,,0.11021850258111954,,,,,0,1334898074000000000,,-38592,-0.7758619739979622,,-1277.88883975957,2252968.0,25.0
11,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:00:50,10,1,23.0,,,3,-864.0151792264078,0.1,0,0.0,0.0,,,0.5136511670425534,,,,,0,1334898069000000000,,-32201,-0.7495205332488695,,-1275.0397271001414,19588184.0,25.0
12,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:00:42,10,1,23.0,,,16399,-865.255450643599,0.1,0,0.0,0.0,,,0.7943456806242466,,,,,0,1334898061000000000,,-21919,-0.35897119212313555,,-1268.2374353627526,104460919565087.0,25.0
13,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:00:40,23,1,21.0,,,3,-491.3525481882971,0.1,0,0.0,0.0,,,0.46683826949447393,,,,,0,1334898059000000000,,-19387,-0.5718941052618902,,-1268.543115648085,5855019.0,25.0
14,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:00:31,23,1,21.0,,,3,-492.6454571192153,0.1,0,0.0,0.0,,,0.7284299414604902,,,,,0,1334898050000000000,,-7995,-0.7409096675537512,,-1269.1996921735993,5840246.0,25.0
15,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:00:28,19,3,20.0,,,33,-238.39100517219137,0.1,0,0.0,0.0,,,0.6136640310287476,,,,,0,1334898047000000000,,-4203,-0.4296323993303304,,-1281.0493526747896,2231695.0,25.0
16,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:00:27,10,1,22.0,,,3,-867.0166141237132,0.1,0,0.0,0.0,,,0.5127480700612068,,,,,0,1334898046000000000,,-3461,-0.11701919676897887,,-1280.334293171367,19522960.0,25.0
17,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:00:20,14,1,24.0,,,16399,85.15214460203424,0.1,0,0.0,0.0,,,0.46499884128570557,,,,,0,1334898039409129984,,-2225,-0.6642817967626797,,-1262.5624491193837,104439340113779.0,25.0
18,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:00:12,14,1,22.0,,,1,83.15411231014878,0.1,0,0.0,0.0,,,0.8884716033935547,,,,,0,1334898031409129984,,-2225,-0.6642817967626797,,-1262.5624491193837,116161.0,25.0
19,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:00:08,19,3,20.0,,,33,-241.33261447130596,0.1,0,0.0,0.0,,,0.39006924629211426,,,,,0,1334898027409129984,,-2225,-0.6642817967626797,,-1262.5624491193837,7041222.0,25.0
20,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:00:07,10,1,22.0,,,3,-869.568436924601,0.1,0,0.0,0.0,,,0.8591518439352512,,,,,0,1334898026409129984,,-2225,-0.6642817967626797,,-1262.5624491193837,14290271.0,25.0
21,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:00:06,10,1,21.0,,,3,-869.7932429728098,0.1,0,0.0,0.0,,,0.7342637330293655,,,,,0,1334898025409129984,,-2225,-0.6642817967626797,,-1262.5624491193837,14287370.0,25.0
22,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 06:00:05,19,3,19.0,,,33,-243.87779595471957,0.1,0,0.0,0.0,,,0.8689453303813934,,,,,0,1334898024409129984,,-2225,-0.6642817967626797,,-1262.5624491193837,7038799.0,25.0
23,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 05:59:59,19,3,19.0,,,33,-244.16506248783622,0.1,0,0.0,0.0,,,0.680589348077774,,,,,0,1334898018409129984,,-2225,-0.6642817967626797,,-1262.5624491193837,7033868.0,25.0
24,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 05:59:58,10,1,20.0,,,3,-869.3567902548239,0.1,0,0.0,0.0,,,0.060697197914123535,,,,,0,1334898017409129984,,-2225,-0.6642817967626797,,-1262.5624491193837,14264183.0,25.0
25,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 05:59:51,19,3,13.0,,,33,-244.23975178644656,0.1,0,0.0,0.0,,,0.7402395606040955,,,,,0,1334898009409129984,,-2225,-0.6642817967626797,,-1262.5624491193837,7026559.0,400.0
26,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 05:59:50,10,1,22.0,,,16399,-871.5587929124013,0.1,0,0.0,0.0,,,0.46618956327438354,,,,,0,1334898009409129984,,-2225,-0.6642817967626797,,-1262.5624491193837,104409334240932.0,25.0
27,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 05:59:45,19,3,16.0,,,33,-248.15519463282664,0.1,0,0.0,0.0,,,0.6493573933839798,,,,,0,1334898003409129984,,-2225,-0.6642817967626797,,-1262.5624491193837,7021601.0,400.0
28,JmQFZeoQ5DYNWVAUg2dtWXflot63,2022-04-25 05:59:44,10,1,25.0,,,3,-871.653101791162,0.1,0,0.0,0.0,,,0.7713999450206757,,,,,0,1334898003409129984,,-2225,-0.6642817967626797,,-1262.5624491193837,14223474.0,25.0
