,user_id,timestamp,location
0,009,2022-03-03 10:14:01+00:00,POINT (6 -8)
1,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:50:33+00:00,POINT (-122.084 37.4219983)
2,009,2022-03-04 10:11:01+00:00,POINT (6 -9)
3,009,2022-03-04 10:11:03+00:00,POINT (6 -9)
4,008,2022-03-04 10:11:03+00:00,POINT (6 -9)
5,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:40:41+00:00,POINT (-122.084 37.4219983333333)
6,005,2022-03-04 10:11:03+00:00,POINT (6 -9)
7,005,2022-03-04 10:11:04+00:00,POINT (6 -9)
8,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:50:34+00:00,POINT (-122.084 37.4219983)
9,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 14:48:01+00:00,POINT (-122.084 37.4219983)
10,005,2022-03-04 10:11:05+00:00,POINT (6 -9)
11,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:37:42+00:00,POINT (-122.084 37.4219983)
12,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:50:35+00:00,POINT (-122.084 37.4219983333333)
13,005,2022-03-04 10:11:06+00:00,POINT (6 -9)
14,009,2022-03-03 10:14:00+00:00,POINT (5 -5)
15,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:50:36+00:00,POINT (-122.084 37.4219983)
16,009,2022-03-03 10:14:05+00:00,POINT (5 -5)
17,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:36:08+00:00,POINT (-122.084 37.4219983)
18,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:36:09+00:00,POINT (-122.084 37.4219983)
19,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:50:37+00:00,POINT (-122.084 37.4219983333333)
20,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:36:07+00:00,POINT (-122.084 37.4219983)
21,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:36:10+00:00,POINT (-122.084 37.4219983333333)
22,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:50:38+00:00,POINT (-122.084 37.4219983)
23,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:37:47+00:00,POINT (-122.084 37.4219983)
24,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:36:11+00:00,POINT (-122.084 37.4219983333333)
25,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 14:48:02+00:00,POINT (-122.084 37.4219983)
26,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:50:39+00:00,POINT (-122.084 37.4219983)
27,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:36:12+00:00,POINT (-122.084 37.4219983)
28,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:50:40+00:00,POINT (-122.084 37.4219983333333)
29,qSJiVSkPFXNCZNSRV4bBDe4Xdxy1,2022-03-07 05:36:13+00:00,POINT (-122.084 37.4219983333333)
